"filename", "language", "HTML", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 1
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\app.component.ts", "TypeScript", 0, 0, 11, 0, 2, 13
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\app.config.ts", "TypeScript", 0, 0, 25, 0, 4, 29
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\app.routes.ts", "TypeScript", 0, 0, 43, 9, 2, 54
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\guards\auth-guard.module.ts", "TypeScript", 0, 0, 33, 1, 6, 40
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\guards\mobile-guard.module.ts", "TypeScript", 0, 0, 21, 0, 5, 26
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\chat\chat.component.css", "PostCSS", 0, 175, 0, 0, 38, 213
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\chat\chat.component.html", "HTML", 42, 0, 0, 0, 3, 45
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\chat\chat.component.ts", "TypeScript", 0, 0, 229, 9, 27, 265
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\chats\chats.component.css", "PostCSS", 0, 50, 0, 0, 13, 63
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\chats\chats.component.html", "HTML", 19, 0, 0, 0, 2, 21
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\chats\chats.component.ts", "TypeScript", 0, 0, 50, 0, 7, 57
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\create-post-mobile\create-post-mobile.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\create-post-mobile\create-post-mobile.component.html", "HTML", 1, 0, 0, 0, 1, 2
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\create-post-mobile\create-post-mobile.component.ts", "TypeScript", 0, 0, 9, 0, 2, 11
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\friends\friends.component.css", "PostCSS", 0, 65, 0, 0, 13, 78
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\pages\friends\friends.component.html", "HTML", 14, 0, 0, 0, 1, 15
